状态,!=,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,ID,[,],else,float,if,int,num,return,void,while,{,},#,<FTYPE>,<Program>,<S>,<call>,<if语句>,<relop>,<relop和加法表达式>,<return语句>,<while语句>,<下标数组>,<中括号和数字>,<乘除因子>,<内部变量声明>,<内部声明>,<函数声明>,<加减项>,<加法表达式>,<参数>,<参数列表>,<变量声明>,<因子>,<声明>,<声明串>,<声明类型>,<实参>,<实参列表>,<形参>,<数组声明>,<表达式>,<表达式循环>,<语句>,<语句串>,<语句块>,<赋值语句>,<逗号和参数>,<逗号和表达式>,<项>,
80,r61, ,r61,s121,r61, ,r61,s122, ,r61,r61, ,r61,r61,r61, , , , , , , , , , , , , , , , , , , , , , , , , ,120, , , , , , , , , , , , , , , , , , , , , , , , , ,
81,r62, ,r62,r62,r62, ,r62,r62, ,r62,r62, ,r62,r62,r62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
82, ,s82, , , , , , , , , , , , , ,s83, , , , , , ,s81, , , , , , , , , , , , , , , , , , , , , , ,78, , , ,80, , , , , , , ,123, , , , , , , ,79,
83,r66,s126,r66,r66,r66, ,r66,r66, ,r66,r66, ,r66,r66,r66, , , , , , , , , , , , , , ,124, , ,125, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
84, , ,s127, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
85, , , , , , , , , , , , , , , ,r40, , , , ,r40, , ,r40, ,r40, ,r40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
86, , , , , , , , ,r45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
87, ,s67, , , , , , , , , , , , , ,s68, , , , , , ,s66, , , , , , , , , , , , , , , , , , , , , , ,128, , , ,65, , , , , , , , , , , , , , , ,64,
88, ,r48, , , , , , , , , , , , , ,r48, , , , , , ,r48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
89, ,r49, , , , , , , , , , , , , ,r49, , , , , , ,r49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
90, ,r50, , , , , , , , , , , , , ,r50, , , , , , ,r50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
